Ord;singular;plural;;;;;Annotation;Anpassung notwendig;tags
pizza;-n;-or;;;;;;;
persika;-n;-or;;;;;;;frukt
kontantkort;-et;;;;;;;;
sallad;-en;-er;;;;;;;
kopp;-en;-ar;;;;;;;
chokladkaka;-n;-or;;;;;;;
påse;-n;-ar;;;;;;;
chokladboll;-en;-ar;;;;;;yes;
wienerbröd;-et;;;;;;;;
dosa;-n;-or;;;;;;;
chokladruta;-n;-or;;;;;;;
kvitto;-t;-n;;;;;;;
ask;-en;-ar;;;;;;;
choklad;-en;-er;;;;;;;
cigarett;-en;-er;;;;;;;
fil;-en;;;;;;;;
tub;-en;-er;;;;;;;
kaviar;-en;-er;;;;;;;
ketchup;-en;;;;;;;;
burk;-en;-ar;;;;;;;
glasburk;-en;-ar;;;;;;;
plåtburk;-en;-ar;;;;;;;
lingonsylt;-en;-er;;;;;;;
mjukost;-en;-ar;;;;;;;
tandpetare;-n;;;;;;;;
tändsticka;;-or;;;;;;;
ärta;-n;-or;;;;;;;
helvete;-t;-n;;;;;;;
stad;-en/stan;städer;stad;staden, stan;städer;städerna;;yes;
blomma;-n;-or;blomma;blomman;blommor;blommorna;;yes;
museum;museet;museer;museum;museet;museer;museerna;;yes;
laboratorium;laboratoriet;laboratorier;laboratorium;laboratoriet;laboratorier;laboratorierna;;Yes;
